Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,N/A,FH 2,FH 3,Demo flights,logistics,Crewed missions,Commercial satellites,Scientific satellites,Military satellites,Rideshares,Current,In development,Retired,Cancelled,Spacecraft,Cargo,Crewed,Test vehicles,Unflown,Orbital,Atmospheric,Landing sites,Other facilities,Support,Contracts,R&D programs,Key people,Related,General,People,Vehicles,Launches by rocket type,Launches by spaceport,"Agencies, companies and facilities",Other mission lists and timelines,Version Booster,Booster landing,Date,Time
85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,30 May 2020,30 May 2020
86,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,4 June 2020,4 June 2020
87,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,13 June 2020,13 June 2020
88,CCAFS,GPS III,"4,311 kg",MEO,U.S. Space Force,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,30 June 2020,30 June 2020
89,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1058.2,Success,20 July 2020,20 July 2020
90,KSC,Starlink,"14,932 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,7 August 2020,7 August 2020
91,CCAFS,Starlink,"~15,440 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1049.6,Success,18 August 2020,18 August 2020
92,CCAFS,SAOCOM 1B,"3,130 kg",SSO,CONAE,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,30 August 2020,30 August 2020
93,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1060.2,Success,3 September 2020,3 September 2020
94,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1058.3,Success,6 October 2020,6 October 2020
95,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1051.6,Success,18 October 2020,18 October 2020
96,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,24 October 2020,24 October 2020
